Name of Lending Institution,HQ State,Rank,TA Ratio1,TBL Ratio1,"Amount ($1,000)",Number ,Lender Asset Size,"Amount ($1,000)",Number ,,"Amount ($1,000)",Number ,CC Amount/TA1
,,(1),(2),(3),(4),(5),(6),(7),(8),,(9),(10),(11)
American Express Co. ,NY ,1,0.238,1.000," 16,350,038 "," 3,603,226 ", >$50B                ," 16,318,089 "," 3,603,088 ",," 31,949 ", 138 ,0.28
First Citizens Banchares,NC ,2,0.187,0.491," 3,914,507 "," 117,702 ", $10B-$50B            ," 378,394 "," 105,081 ",," 3,536,113 "," 12,621 ",    .  
Wintrust Financial Corp.,IL ,3,0.169,0.384," 2,842,793 "," 136,801 ", $10B-$50B            ," 800,526 "," 126,455 ",," 2,042,267 "," 10,346 ",0
Zions Bancorp,UT ,4,0.118,0.261," 6,231,770 "," 52,612 ", >$50B                ," 526,206 "," 32,973 ",," 5,705,564 "," 19,639 ",0
Synovus Financial Corp.,GA ,5,0.162,0.381," 4,227,168 "," 22,675 ", $10B-$50B            ," 539,666 "," 9,593 ",," 3,687,502 "," 13,082 ",0.01
BB&T Corp. ,NC ,6,0.053,0.253," 9,408,732 "," 506,879 ", >$50B                ," 1,922,393 "," 473,449 ",," 7,486,339 "," 33,430 ",0
FNB Corp. ,PA ,7,0.128,0.416," 1,475,506 "," 25,011 ", $10B-$50B            ," 247,853 "," 17,810 ",," 1,227,653 "," 7,201 ",    .  
Capital One Financial Corp.,VA ,8,0.028,0.316," 9,105,726 "," 2,914,573 ", >$50B                ," 5,872,601 "," 2,900,077 ",," 3,233,125 "," 14,496 ",0.25
Fulton Financial Corp. ,PA ,8,0.129,0.348," 2,133,209 "," 20,080 ", $10B-$50B            ," 187,652 "," 9,909 ",," 1,945,557 "," 10,171 ",    .  
Regions Financial Corp.,AL ,10,0.061,0.219," 7,386,970 "," 63,394 ", >$50B                ," 1,617,601 "," 41,677 ",," 5,769,369 "," 21,717 ",0.01
U S Bancorp.,MN ,11,0.042,0.205," 14,632,161 "," 870,931 ", >$50B                ," 4,859,559 "," 828,856 ",," 9,772,602 "," 42,075 ",0.05
First Niagara Financial Grp. ,NY ,11,0.072,0.288," 2,530,706 "," 32,530 ", $10B-$50B            ," 446,838 "," 23,841 ",," 2,083,868 "," 8,689 ",    .  
Lauritzen Corp. ,NE ,13,0.071,0.337," 1,142,096 "," 101,941 ", $10B-$50B            ," 501,648 "," 97,542 ",," 640,448 "," 4,399 ",    .  
